G_ID,GDAY_DS,T_ID,VS_T_ID,TB_SC,P_ID,AB,RBI,RUN,HIT,H2,H3,HR,BB,KK
20200917OBKT0,20200917,OB,KT,T,77248,0,0,0,0,0,0,0,0,0
20200917OBKT0,20200917,OB,KT,T,66203,0,0,0,0,0,0,0,0,0
20200917OBKT0,20200917,OB,KT,T,79215,1,0,0,0,0,0,0,0,0
20200917OBKT0,20200917,OB,KT,T,No_Code,0,0,0,0,0,0,0,0,0
20200917OBKT0,20200917,OB,KT,T,79290,2,0,0,0,0,0,0,0,1
20200917OBKT0,20200917,OB,KT,T,62244,3,0,0,2,0,0,0,0,0
20200917OBKT0,20200917,OB,KT,T,79240,4,0,0,0,0,0,0,0,0
20200917OBKT0,20200917,OB,KT,T,76267,4,0,0,1,0,0,0,0,0
20200917OBKT0,20200917,OB,KT,T,78224,4,0,0,0,0,0,0,0,2
20200917OBKT0,20200917,OB,KT,T,75334,4,0,0,0,0,0,0,0,0
20200917OBKT0,20200917,OB,KT,T,69209,4,0,0,1,0,0,0,0,1
20200917OBKT0,20200917,OB,KT,T,79231,4,0,0,1,0,0,0,0,0
20200917OBKT0,20200917,OB,KT,T,67207,2,0,0,1,0,0,0,0,1
20200917OBKT0,20200917,OB,KT,T,63257,1,0,0,0,0,0,0,0,0
20200917SKNC0,20200917,SK,NC,B,75151,1,0,0,0,0,0,0,0,1
20200917SKNC0,20200917,SK,NC,B,76812,2,0,0,0,0,0,0,0,1
20200917SKNC0,20200917,SK,NC,B,50854,3,0,0,1,0,0,0,0,1
20200917SKNC0,20200917,SK,NC,B,63450,0,0,0,0,0,0,0,0,0
20200917SKNC0,20200917,SK,NC,B,61353,4,0,0,1,0,0,0,0,0
20200917SKNC0,20200917,SK,NC,B,71837,1,0,0,0,0,0,0,0,1
20200917SKNC0,20200917,SK,NC,B,69804,0,0,0,0,0,0,0,0,0
20200917SKNC0,20200917,SK,NC,B,61743,1,0,0,1,0,0,0,0,0
20200917SKNC0,20200917,SK,NC,B,99997,1,0,0,0,0,0,0,1,0
20200917SKNC0,20200917,SK,NC,B,67872,4,0,0,0,0,0,0,0,1
20200917SKNC0,20200917,SK,NC,B,75847,4,0,0,0,0,0,0,0,3
20200917SKNC0,20200917,SK,NC,B,60558,4,0,0,0,0,0,0,0,1
20200917SKNC0,20200917,SK,NC,B,63440,0,0,0,0,0,0,0,0,0
20200917SKNC0,20200917,SK,NC,B,76802,3,0,0,1,0,0,0,0,1
20200917SKNC0,20200917,SK,NC,B,68868,2,0,0,0,0,0,0,1,1
20200917SSHT0,20200917,SS,HT,B,99999,3,0,0,0,0,0,0,1,2
20200917SSHT0,20200917,SS,HT,B,50458,3,0,0,0,0,0,0,0,2
20200917SSHT0,20200917,SS,HT,B,64407,1,0,0,0,0,0,0,0,0
20200917SSHT0,20200917,SS,HT,B,61404,1,0,0,0,0,0,0,0,0
20200917SSHT0,20200917,SS,HT,B,62415,3,0,1,1,0,0,0,1,1
20200917SSHT0,20200917,SS,HT,B,64266,3,0,0,0,0,0,0,1,2
20200917SSHT0,20200917,SS,HT,B,64499,0,0,0,0,0,0,0,0,0
20200917SSHT0,20200917,SS,HT,B,75566,4,0,0,1,0,0,0,0,2
20200917SSHT0,20200917,SS,HT,B,66838,3,1,0,1,0,0,0,0,1
20200917SSHT0,20200917,SS,HT,B,60288,1,0,0,0,0,0,0,0,0
20200917SSHT0,20200917,SS,HT,B,74540,3,0,0,1,0,0,0,0,0
20200917SSHT0,20200917,SS,HT,B,79402,4,0,1,1,0,0,0,0,1
20200917SSHT0,20200917,SS,HT,B,64468,0,0,0,0,0,0,0,0,0
