G_ID,GDAY_DS,T_ID,VS_T_ID,TB_SC,AB,RBI,RUN,HIT,H2,H3,HR,SB,BB,KK,GD,ERR,LOB
20200728NCLT0,20200728,NC,LT,T,42,8,9,17,3,0,2,2,4,7,1,0,10
20200731NCOB0,20200731,NC,OB,B,37,10,10,14,4,0,1,2,5,7,1,1,8
20200801NCOB0,20200801,NC,OB,B,45,10,10,15,4,0,2,2,7,8,0,1,12
20200802NCOB0,20200802,NC,OB,B,42,4,4,8,1,0,2,0,5,10,1,1,7
20200805NCHH0,20200805,NC,HH,T,30,5,5,6,0,1,0,0,11,4,1,2,11
20200806NCHH0,20200806,NC,HH,T,32,4,4,8,1,0,2,0,7,4,1,0,8
20200808NCHT0,20200808,NC,HT,T,31,2,2,6,1,2,0,2,9,6,1,0,11
20200809NCHT0,20200809,NC,HT,T,39,7,8,14,2,1,1,0,6,8,2,1,10
20200812NCLT0,20200812,NC,LT,T,35,4,4,9,1,0,0,0,5,8,0,0,10
20200813NCLT0,20200813,NC,LT,T,39,8,9,14,1,0,1,0,4,7,1,1,7
20200814NCLG0,20200814,NC,LG,B,36,4,4,8,3,0,0,1,4,13,0,0,9
20200815NCLG0,20200815,NC,LG,B,34,4,4,10,0,0,2,0,3,13,1,0,7
20200816NCLG0,20200816,NC,LG,B,34,5,5,9,5,0,0,0,3,6,2,1,5
20200818NCWO0,20200818,NC,WO,B,27,5,5,7,3,0,1,0,3,4,1,0,3
20200819NCWO0,20200819,NC,WO,B,36,4,4,7,1,0,1,0,4,7,0,1,9
20200820NCHT0,20200820,NC,HT,T,45,13,14,21,3,0,1,3,3,6,0,1,10
20200821NCHT0,20200821,NC,HT,T,38,7,10,10,5,0,1,0,4,10,0,0,6
20200823NCKT0,20200823,NC,KT,T,35,1,1,9,2,0,0,0,5,7,1,0,12
20200824NCKT0,20200824,NC,KT,T,34,1,1,8,0,0,0,1,3,4,1,0,9
20200825NCHH0,20200825,NC,HH,B,38,11,11,15,3,0,6,1,2,7,0,0,5
20200826NCHH0,20200826,NC,HH,B,36,9,9,11,2,0,2,1,4,6,1,2,7
20200827NCOB0,20200827,NC,OB,B,35,7,8,13,2,1,1,0,5,9,1,0,8
20200828NCOB0,20200828,NC,OB,B,35,3,4,10,1,1,1,0,4,4,1,1,8
20200829NCSK0,20200829,NC,SK,B,35,8,9,14,3,0,2,1,4,4,1,0,6
20200830NCSK0,20200830,NC,SK,B,28,6,7,7,2,1,0,0,8,5,0,0,7
20200901NCWO0,20200901,NC,WO,T,32,5,5,10,2,0,1,0,4,10,1,0,6
20200902NCWO0,20200902,NC,WO,T,34,4,4,9,3,0,1,0,4,5,2,1,7
20200903NCLG0,20200903,NC,LG,T,40,4,5,16,2,0,0,3,3,11,2,2,11
20200904NCLG0,20200904,NC,LG,T,46,5,5,13,1,0,0,3,7,15,0,2,14
20200906NCSS0,20200906,NC,SS,T,31,3,3,5,0,0,1,0,2,10,1,0,3
20200908NCLT0,20200908,NC,LT,B,42,14,14,17,5,0,0,0,4,6,0,0,8
20200909NCLT0,20200909,NC,LT,B,42,5,5,11,4,1,1,1,5,9,1,0,12
20200910NCKT0,20200910,NC,KT,B,36,12,13,13,3,0,3,0,9,4,0,0,9
20200911NCKT0,20200911,NC,KT,B,37,8,9,13,4,0,3,2,3,7,0,0,7
20200912NCHT0,20200912,NC,HT,B,32,3,3,6,1,0,1,1,3,7,0,1,5
20200913NCHT0,20200913,NC,HT,B,32,3,3,8,0,0,0,3,6,6,0,2,11
20200915NCOB0,20200915,NC,OB,T,33,2,3,6,1,1,0,2,4,5,0,1,7
20200916NCOB0,20200916,NC,OB,T,34,4,5,8,1,0,2,2,4,10,0,0,7
20200917NCSK0,20200917,NC,SK,T,34,3,3,9,1,0,2,1,3,6,1,0,8
20200918NCSK0,20200918,NC,SK,T,31,9,9,8,0,1,1,1,7,6,0,0,4
20200919NCLT0,20200919,NC,LT,T,34,1,1,10,0,0,1,1,2,7,2,0,8
20200920NCLT1,20200920,NC,LT,T,37,6,6,13,0,0,2,1,4,8,0,0,10
20200920NCLT0,20200920,NC,LT,T,35,5,7,10,1,1,0,2,2,6,1,1,5
20200922NCSS0,20200922,NC,SS,B,30,2,3,6,1,0,0,1,6,4,1,0,9
20200923NCSS0,20200923,NC,SS,B,30,8,8,10,1,0,1,0,5,7,2,1,4
20200721OBWO0,20200721,OB,WO,B,31,6,6,7,2,1,1,2,1,6,0,0,2
20200724OBLG0,20200724,OB,LG,B,31,1,1,8,3,0,0,1,4,4,2,1,7
20200725OBLG0,20200725,OB,LG,B,31,7,7,10,4,0,1,0,2,6,0,1,3
20200726OBLG0,20200726,OB,LG,B,32,3,3,8,2,0,1,0,7,5,1,2,10
20200728OBWO0,20200728,OB,WO,B,36,2,2,9,2,0,1,0,2,4,0,1,9
20200730OBWO0,20200730,OB,WO,B,36,5,5,10,0,0,2,2,4,8,0,0,9
20200731OBNC0,20200731,OB,NC,T,39,7,7,14,2,0,1,2,4,8,1,0,10
20200801OBNC0,20200801,OB,NC,T,45,12,12,17,2,1,0,2,4,9,1,1,9
20200802OBNC0,20200802,OB,NC,T,48,7,7,15,5,0,0,2,2,8,2,0,8
20200804OBSS0,20200804,OB,SS,B,36,3,3,9,1,0,1,0,1,4,0,0,7
20200805OBSS0,20200805,OB,SS,B,28,2,2,4,0,0,0,1,4,4,0,1,6
20200806OBSS0,20200806,OB,SS,B,31,5,5,7,1,1,0,0,4,7,0,0,7
20200807OBLT0,20200807,OB,LT,B,35,4,4,11,1,0,0,2,1,2,1,2,7
20200808OBLT0,20200808,OB,LT,B,16,1,1,3,0,0,1,0,0,0,2,0,0
20200811OBSS0,20200811,OB,SS,T,33,6,6,9,1,0,1,0,6,4,2,0,6
20200812OBSS0,20200812,OB,SS,T,45,14,15,24,2,0,2,0,3,2,3,1,8
20200813OBSS0,20200813,OB,SS,T,28,2,2,4,0,0,1,1,9,11,1,0,10
20200814OBKT0,20200814,OB,KT,B,45,3,3,10,0,0,2,2,8,9,1,1,14
20200815OBKT0,20200815,OB,KT,B,38,7,7,13,1,0,1,3,3,3,1,1,8
20200816OBKT0,20200816,OB,KT,B,28,1,1,3,1,0,0,1,7,6,2,1,7
20200818OBLT0,20200818,OB,LT,T,43,7,9,16,2,0,0,1,5,10,0,1,14
20200819OBLT0,20200819,OB,LT,T,28,3,3,6,0,0,1,0,5,6,3,1,3
20200820OBLT0,20200820,OB,LT,B,40,5,5,14,4,0,0,0,3,10,1,0,11
20200821OBLT0,20200821,OB,LT,B,31,1,1,5,0,0,0,0,4,6,0,2,9
20200822OBSK0,20200822,OB,SK,T,39,6,8,12,1,0,2,2,5,9,0,0,9
20200823OBSK0,20200823,OB,SK,T,35,8,8,9,0,0,3,3,9,4,0,0,10
20200825OBHT0,20200825,OB,HT,B,37,10,10,15,1,0,3,0,5,2,1,1,9
20200826OBHT0,20200826,OB,HT,B,35,5,5,11,1,0,1,0,6,8,1,0,11
20200827OBNC0,20200827,OB,NC,T,37,2,2,13,6,0,0,0,2,4,1,1,10
20200828OBNC0,20200828,OB,NC,T,46,11,11,18,1,0,4,0,6,4,0,0,14
20200829OBLG0,20200829,OB,LG,T,35,5,5,11,3,0,1,2,3,3,0,0,6
20200830OBLG0,20200830,OB,LG,T,31,1,1,7,1,0,0,0,1,5,2,1,4
