GDAY_DS,T_ID,VS_T_ID,TB_SC,P_ID,AB,RBI,RUN,HIT,H2,H3,HR,BB,KK
200724,HH,SK,B,69766,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200724,HH,SK,B,66702,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
200724,HH,SK,B,78288,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
200724,HH,SK,B,50704,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
200724,HH,SK,B,74729,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
200724,HH,SK,B,99990,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
200724,HH,SK,B,78756,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
200724,HH,SK,B,62700,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
200724,HH,SK,B,71752,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
200724,HH,SK,B,68743,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
200724,KT,NC,B,50054,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200724,OB,LG,B,79240,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
200724,KT,NC,B,64004,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
200724,LG,OB,T,69100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200724,LG,OB,T,77564,5.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
200724,LG,OB,T,78217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200724,LG,OB,T,50165,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
200724,LG,OB,T,78135,4.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0
200724,LG,OB,T,65207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200724,LG,OB,T,76290,5.0,2.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0
200724,LG,OB,T,66108,6.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
200724,OB,LG,B,63202,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
200724,OB,LG,B,71842,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
