GDAY_DS,T_ID,VS_T_ID,TB_SC,WLS,INN2,BF,AB,HIT,H2,H3,HR,SB,BB,KK,GD,R,ER
200829,WO,SS,B,L,27.0,142.0,37.0,10.0,2.0,0.0,0.0,1.0,2.0,10.0,0.0,5.0,5.0
200829,SS,WO,T,W,27.0,119.0,30.0,8.0,2.0,0.0,0.0,0.0,3.0,3.0,3.0,4.0,4.0
200830,LT,HH,B,W,27.0,127.0,33.0,6.0,1.0,0.0,0.0,1.0,2.0,6.0,0.0,2.0,2.0
200830,HH,LT,T,L,24.0,145.0,34.0,10.0,3.0,0.0,0.0,2.0,3.0,6.0,1.0,6.0,2.0
200830,LG,OB,B,W,27.0,126.0,31.0,7.0,1.0,0.0,0.0,0.0,1.0,5.0,2.0,1.0,1.0
200830,OB,LG,T,L,24.0,162.0,30.0,8.0,2.0,0.0,1.0,2.0,6.0,6.0,1.0,4.0,4.0
200830,NC,SK,B,W,27.0,132.0,33.0,7.0,1.0,0.0,3.0,0.0,3.0,7.0,0.0,4.0,4.0
200830,SK,NC,T,L,24.0,139.0,28.0,7.0,2.0,1.0,0.0,0.0,8.0,5.0,0.0,7.0,7.0
200830,WO,SS,B,W,27.0,131.0,34.0,10.0,0.0,0.0,0.0,2.0,1.0,5.0,1.0,2.0,2.0
200830,SS,WO,T,L,24.0,178.0,34.0,11.0,1.0,1.0,0.0,3.0,3.0,4.0,1.0,3.0,3.0
200901,OB,HH,B,W,27.0,125.0,29.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0
200901,HH,OB,T,L,24.0,137.0,33.0,10.0,2.0,0.0,0.0,1.0,2.0,5.0,1.0,4.0,3.0
200901,SK,LG,B,L,27.0,193.0,38.0,11.0,3.0,0.0,3.0,0.0,9.0,10.0,0.0,13.0,11.0
200901,LG,SK,T,W,27.0,166.0,35.0,10.0,0.0,0.0,0.0,1.0,6.0,8.0,1.0,5.0,5.0
200901,KT,LT,B,W,27.0,153.0,29.0,6.0,1.0,0.0,0.0,0.0,6.0,3.0,2.0,2.0,2.0
200901,LT,KT,T,L,24.0,163.0,37.0,14.0,2.0,0.0,2.0,2.0,3.0,7.0,1.0,11.0,8.0
200901,WO,NC,B,L,27.0,160.0,32.0,10.0,2.0,0.0,1.0,0.0,4.0,10.0,1.0,5.0,5.0
200901,NC,WO,T,W,27.0,135.0,33.0,6.0,2.0,0.0,0.0,0.0,2.0,7.0,0.0,2.0,2.0
200901,HT,SS,B,W,27.0,121.0,30.0,4.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,0.0,0.0
200901,SS,HT,T,L,24.0,188.0,31.0,9.0,2.0,0.0,1.0,0.0,9.0,9.0,0.0,6.0,6.0
200902,WO,NC,B,W,27.0,136.0,34.0,9.0,3.0,0.0,1.0,0.0,4.0,5.0,2.0,4.0,4.0
