GDAY_DS,T_ID,VS_T_ID,TB_SC,AB,RBI,RUN,HIT,H2,H3,HR,SB,BB,KK,GD,ERR,LOB
200902,WO,NC,B,31.0,6.0,6.0,7.0,2.0,0.0,0.0,1.0,10.0,7.0,0.0,0.0,11.0
200903,HH,WO,B,38.0,3.0,5.0,11.0,2.0,0.0,1.0,0.0,6.0,8.0,0.0,0.0,12.0
200903,SK,KT,T,32.0,2.0,2.0,8.0,1.0,0.0,0.0,1.0,5.0,2.0,2.0,0.0,8.0
200903,KT,SK,B,34.0,6.0,6.0,12.0,3.0,0.0,0.0,1.0,4.0,6.0,1.0,0.0,8.0
200903,OB,SS,T,38.0,8.0,10.0,10.0,3.0,1.0,3.0,1.0,3.0,4.0,1.0,3.0,4.0
200903,SS,OB,B,35.0,11.0,11.0,16.0,5.0,1.0,1.0,1.0,4.0,6.0,2.0,2.0,6.0
200903,NC,LG,T,40.0,4.0,5.0,16.0,2.0,0.0,0.0,3.0,3.0,11.0,2.0,2.0,11.0
200903,LG,NC,B,32.0,6.0,6.0,9.0,1.0,0.0,1.0,0.0,2.0,8.0,2.0,2.0,5.0
200903,HT,LT,T,36.0,4.0,4.0,10.0,1.0,0.0,2.0,0.0,1.0,7.0,0.0,0.0,7.0
200903,LT,HT,B,30.0,3.0,3.0,5.0,2.0,0.0,0.0,1.0,3.0,6.0,1.0,0.0,3.0
200903,WO,HH,T,34.0,6.0,6.0,9.0,0.0,0.0,1.0,2.0,5.0,8.0,0.0,2.0,7.0
200904,SS,OB,B,37.0,12.0,12.0,16.0,3.0,0.0,2.0,1.0,9.0,3.0,2.0,0.0,12.0
200904,NC,LG,T,46.0,5.0,5.0,13.0,1.0,0.0,0.0,3.0,7.0,15.0,0.0,2.0,14.0
200904,LG,NC,B,46.0,5.0,5.0,13.0,3.0,1.0,0.0,2.0,9.0,14.0,1.0,1.0,16.0
200904,WO,HH,T,32.0,1.0,1.0,6.0,1.0,0.0,0.0,2.0,4.0,8.0,0.0,1.0,8.0
200904,HH,WO,B,30.0,7.0,7.0,10.0,1.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,9.0
200904,LT,HT,B,29.0,3.0,3.0,5.0,0.0,0.0,0.0,0.0,6.0,10.0,2.0,2.0,6.0
200904,HT,LT,T,34.0,5.0,6.0,8.0,3.0,0.0,1.0,0.0,4.0,7.0,1.0,0.0,7.0
